City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
402,Vao,NC,-22.6667,167.4833,76.46,85,20,23.85,few clouds
403,Mangrol,IN,21.1167,70.1167,64.26,41,4,12.15,clear sky
404,Yar-Sale,RU,66.8333,70.8333,-29.2,99,26,5.73,scattered clouds
405,Camana,PE,-16.6228,-72.7111,68.25,83,99,6.96,overcast clouds
406,Lillehammer,NO,61.1146,10.4674,33.04,74,3,10.47,clear sky
407,Koumac,NC,-20.5667,164.2833,79.93,68,70,10.78,broken clouds
408,Palmer,US,42.1584,-72.3287,36.48,86,90,4.61,light rain
409,Ust-Uda,RU,54.1742,103.0304,21.88,89,100,8.93,overcast clouds
410,Ust-Kuyga,RU,70.0167,135.6,-29.13,98,100,2.37,overcast clouds
411,Cabo San Lucas,MX,22.8909,-109.9124,73.71,78,20,3.44,few clouds
412,Port-Gentil,GA,-0.7193,8.7815,79.97,81,47,6.58,scattered clouds
413,Vila Velha,BR,-20.3297,-40.2925,71.55,96,90,5.99,overcast clouds
414,Harper,LR,4.375,-7.7169,79.61,84,95,6.71,overcast clouds
415,Boden,SE,65.8252,21.6886,30.2,78,98,7.36,overcast clouds
416,Viedma,AR,-40.8135,-62.9967,77.56,53,0,13.47,clear sky
417,Guabito,PA,9.5,-82.6167,75.49,90,26,3.2,scattered clouds
418,Sawtell,AU,-30.3833,153.1,86.02,54,31,13.8,scattered clouds
419,Yanam,IN,16.7333,82.2167,70.2,69,0,4.18,heavy intensity rain
420,Puerto Lumbreras,ES,37.5633,-1.8097,53.98,81,99,7.07,overcast clouds
421,Magdagachi,RU,53.45,125.8,-6.36,90,99,4.14,overcast clouds
422,Ust-Tsilma,RU,65.441,52.1498,-17.52,100,96,3.65,overcast clouds
423,Meulaboh,ID,4.1363,96.1285,75.02,89,100,6.38,moderate rain
424,Chapais,CA,49.7834,-74.8492,8.38,95,100,2.91,overcast clouds
425,Sechura,PE,-5.5569,-80.8222,70.09,75,100,15.19,overcast clouds
426,Shestakovo,RU,56.4915,103.96,-0.53,96,100,7.58,light snow
427,Bemidji,US,47.4736,-94.8803,4.17,83,1,0.0,clear sky
428,Pishva,IR,35.308,51.7267,42.01,87,80,6.53,broken clouds
429,Portland,US,45.5234,-122.6762,52.59,92,90,1.99,moderate rain
430,Calderitas,MX,18.55,-88.25,76.78,88,7,7.09,clear sky
431,Kuusamo,FI,65.9667,29.1833,19.44,93,90,4.61,light snow
432,Sulangan,PH,11.1373,123.7228,81.16,80,70,7.07,broken clouds
433,Broken Hill,AU,-31.95,141.4333,74.91,78,100,8.05,overcast clouds
434,Coquimbo,CL,-29.9533,-71.3436,60.53,82,0,5.75,clear sky
435,Lavrentiya,RU,65.5833,-171.0,-0.35,94,100,7.85,overcast clouds
436,Santo Antonio Do Monte,BR,-20.0872,-45.2936,65.26,94,12,13.35,light rain
437,Miandrivazo,MG,-19.5167,45.4667,77.34,82,13,2.08,few clouds
438,Tutin,RS,42.9903,20.3314,14.49,96,52,5.48,broken clouds
439,Lamu,KE,-2.2717,40.902,79.02,89,5,6.76,moderate rain
440,Nishihara,JP,26.1842,127.7558,64.45,50,75,6.91,broken clouds
441,Broome,US,42.2506,-75.833,41.85,87,90,4.0,light rain
442,Novobirilyussy,RU,56.9514,90.6661,7.93,93,100,6.85,overcast clouds
443,Byron Bay,AU,-28.65,153.6167,86.11,55,73,14.58,broken clouds
444,Jaisalmer,IN,26.9147,70.9181,53.87,16,2,6.69,clear sky
445,Qaqortoq,GL,60.7167,-46.0333,45.1,95,100,18.59,moderate rain
446,Strezhevoy,RU,60.7333,77.5889,-34.02,100,20,3.76,few clouds
447,Monte Escobedo,MX,22.3,-103.5833,52.65,39,81,3.69,broken clouds
448,Itaporanga,BR,-7.3044,-38.1503,82.11,54,58,10.56,broken clouds
449,Mareeba,AU,-17.0,145.4333,86.32,32,36,5.53,scattered clouds
450,Asau,RO,46.4333,26.4,35.76,95,99,6.08,overcast clouds
451,Tupik,RU,54.4253,119.9327,-6.5,85,100,2.04,overcast clouds
452,Charters Towers,AU,-20.1,146.2667,92.28,22,0,8.48,clear sky
453,Lata,PT,40.1629,-8.3327,51.82,75,0,6.42,clear sky
454,Matara,LK,5.9485,80.5353,76.26,90,71,6.87,broken clouds
455,Visby,SE,57.6409,18.296,41.77,87,3,16.11,clear sky
456,High Level,CA,58.5169,-117.136,-9.29,84,75,4.61,light snow
457,Mehendiganj,BD,22.8167,90.5333,65.41,64,0,8.37,clear sky
458,Nuuk,GL,64.1835,-51.7216,32.61,64,40,10.36,scattered clouds
459,Noumea,NC,-22.2763,166.4572,87.78,99,68,17.38,broken clouds
460,Ilulissat,GL,69.2167,-51.1,37.42,48,84,26.46,broken clouds
461,Conceicao Do Araguaia,BR,-8.2578,-49.2647,75.76,93,100,3.98,moderate rain
462,Nome,US,64.5011,-165.4064,15.87,86,90,6.91,mist
463,Bambous Virieux,MU,-20.3428,57.7575,74.21,76,0,2.13,clear sky
464,Lusambo,CD,-4.9667,23.45,66.99,99,37,0.56,scattered clouds
465,Oriximina,BR,-1.7656,-55.8661,76.57,93,100,2.8,light rain
466,Abu Samrah,SY,35.3029,37.1841,49.44,82,100,5.75,overcast clouds
467,Saint-Augustin,CA,51.226,-58.6502,14.86,68,36,23.87,scattered clouds
468,Peyima,SL,8.7,-11.0333,66.31,60,7,1.07,clear sky
469,Zhangye,CN,38.9342,100.4517,23.65,36,64,5.19,broken clouds
470,Kushiro,JP,42.975,144.3747,20.35,68,75,3.44,broken clouds
471,Motala,SE,58.5371,15.0365,40.78,75,43,11.61,scattered clouds
472,Bossangoa,CF,6.4926,17.4552,68.77,37,26,3.83,scattered clouds
473,Soyo,AO,-6.1349,12.3689,77.32,91,99,6.93,overcast clouds
474,Mastic Beach,US,40.7668,-72.8521,50.02,96,90,3.0,overcast clouds
475,Biltine,TD,14.5333,20.9167,63.7,32,48,9.51,scattered clouds
476,Ulladulla,AU,-35.35,150.4667,88.88,48,90,7.99,moderate rain
477,Imuris,MX,30.7833,-110.8667,54.23,41,8,1.43,clear sky
478,Areosa,PT,41.7178,-8.8571,51.33,64,13,6.76,few clouds
479,Igarka,RU,67.4667,86.5833,-37.98,98,33,4.41,scattered clouds
480,Halifax,CA,44.6453,-63.5724,30.25,61,100,1.01,light snow
